REAL=1788175824.510153 MONO=1385.393412 RAW=1385.187438 BOOT=1516.054814
REAL=1788175824.530286 MONO=1385.413542 RAW=1385.207566 BOOT=1516.074944
REAL=1788175824.550393 MONO=1385.433649 RAW=1385.227671 BOOT=1516.095051
REAL=1788175824.570539 MONO=1385.453797 RAW=1385.247817 BOOT=1516.115199
REAL=1788175824.590689 MONO=1385.473950 RAW=1385.267967 BOOT=1516.135352
REAL=1788175824.610853 MONO=1385.494112 RAW=1385.288128 BOOT=1516.155515
REAL=1788175824.631021 MONO=1385.514280 RAW=1385.308293 BOOT=1516.175682
REAL=1788175824.651192 MONO=1385.534452 RAW=1385.328463 BOOT=1516.195854
REAL=1788175824.671373 MONO=1385.554635 RAW=1385.348644 BOOT=1516.216037
REAL=1788175824.691519 MONO=1385.574776 RAW=1385.368782 BOOT=1516.236178
REAL=1788175824.711662 MONO=1385.594920 RAW=1385.388925 BOOT=1516.256322
REAL=1788175824.731815 MONO=1385.615075 RAW=1385.409077 BOOT=1516.276477
REAL=1788175824.751936 MONO=1385.635193 RAW=1385.429193 BOOT=1516.296595
REAL=1788175824.772050 MONO=1385.655306 RAW=1385.449304 BOOT=1516.316708
REAL=1788175824.792155 MONO=1385.675411 RAW=1385.469406 BOOT=1516.336813
REAL=1788175824.812263 MONO=1385.695519 RAW=1385.489512 BOOT=1516.356921
REAL=1788175824.832373 MONO=1385.715628 RAW=1385.509619 BOOT=1516.377030
REAL=1788175824.852484 MONO=1385.735740 RAW=1385.529729 BOOT=1516.397142
REAL=1788175824.872618 MONO=1385.755874 RAW=1385.549861 BOOT=1516.417276
REAL=1788175824.892746 MONO=1385.776021 RAW=1385.570005 BOOT=1516.437422
REAL=1788175824.912898 MONO=1385.796157 RAW=1385.590139 BOOT=1516.457559
REAL=1788175824.933050 MONO=1385.816309 RAW=1385.610290 BOOT=1516.477711
REAL=1788175824.953183 MONO=1385.836444 RAW=1385.630422 BOOT=1516.497846
REAL=1788175824.973318 MONO=1385.856578 RAW=1385.650553 BOOT=1516.517980
REAL=1788175824.993485 MONO=1385.876744 RAW=1385.670718 BOOT=1516.538146
REAL=1788175825.013631 MONO=1385.896887 RAW=1385.690859 BOOT=1516.558289
REAL=1788175825.033771 MONO=1385.917029 RAW=1385.710999 BOOT=1516.578431
REAL=1788175825.053891 MONO=1385.937148 RAW=1385.731115 BOOT=1516.598550
REAL=1788175825.074001 MONO=1385.957258 RAW=1385.751223 BOOT=1516.618660
REAL=1788175825.094127 MONO=1385.977384 RAW=1385.771348 BOOT=1516.638786
REAL=1788175825.114255 MONO=1385.997512 RAW=1385.791474 BOOT=1516.658913
REAL=1788175825.134385 MONO=1386.017647 RAW=1385.811607 BOOT=1516.679049
REAL=1788175825.154517 MONO=1386.037775 RAW=1385.831733 BOOT=1516.699177
REAL=1788175825.174659 MONO=1386.057916 RAW=1385.851873 BOOT=1516.719318
REAL=1788175825.194804 MONO=1386.078062 RAW=1385.872016 BOOT=1516.739464
REAL=1788175825.214914 MONO=1386.098169 RAW=1385.892122 BOOT=1516.759571
REAL=1788175825.235032 MONO=1386.118287 RAW=1385.912238 BOOT=1516.779689
REAL=1788175825.255149 MONO=1386.138407 RAW=1385.932356 BOOT=1516.799809
REAL=1788175825.275302 MONO=1386.158561 RAW=1385.952509 BOOT=1516.819963
REAL=1788175825.295431 MONO=1386.178690 RAW=1385.972635 BOOT=1516.840091
REAL=1788175825.315591 MONO=1386.198851 RAW=1385.992795 BOOT=1516.860253
REAL=1788175825.335750 MONO=1386.219011 RAW=1386.012952 BOOT=1516.880413
REAL=1788175825.355926 MONO=1386.239185 RAW=1386.033125 BOOT=1516.900587
REAL=1788175825.376126 MONO=1386.259387 RAW=1386.053324 BOOT=1516.920789
REAL=1788175825.396306 MONO=1386.279565 RAW=1386.073501 BOOT=1516.940967
REAL=1788175825.416446 MONO=1386.299703 RAW=1386.093636 BOOT=1516.961104
REAL=1788175825.436591 MONO=1386.319850 RAW=1386.113782 BOOT=1516.981252
REAL=1788175825.456728 MONO=1386.339988 RAW=1386.133919 BOOT=1517.001390
REAL=1788175825.476894 MONO=1386.360151 RAW=1386.154079 BOOT=1517.021553
REAL=1788175825.497044 MONO=1386.380303 RAW=1386.174230 BOOT=1517.041705
REAL=1788175825.517228 MONO=1386.400488 RAW=1386.194413 BOOT=1517.061890
REAL=1788175825.537376 MONO=1386.420634 RAW=1386.214556 BOOT=1517.082036
REAL=1788175825.557514 MONO=1386.440772 RAW=1386.234694 BOOT=1517.102175
REAL=1788175825.577658 MONO=1386.460915 RAW=1386.254834 BOOT=1517.122317
REAL=1788175825.597777 MONO=1386.481031 RAW=1386.274948 BOOT=1517.142433
REAL=1788175825.617886 MONO=1386.501141 RAW=1386.295055 BOOT=1517.162542
REAL=1788175825.638016 MONO=1386.521272 RAW=1386.315186 BOOT=1517.182674
REAL=1788175825.658139 MONO=1386.541396 RAW=1386.335308 BOOT=1517.202799
REAL=1788175825.678278 MONO=1386.561535 RAW=1386.355444 BOOT=1517.222937
REAL=1788175825.698449 MONO=1386.581708 RAW=1386.375615 BOOT=1517.243110
REAL=1788175825.718586 MONO=1386.601841 RAW=1386.395747 BOOT=1517.263243
REAL=1788175825.738747 MONO=1386.622005 RAW=1386.415909 BOOT=1517.283408
REAL=1788175825.758872 MONO=1386.642128 RAW=1386.436030 BOOT=1517.303530
REAL=1788175825.778985 MONO=1386.662241 RAW=1386.456141 BOOT=1517.323643
REAL=1788175825.799085 MONO=1386.682339 RAW=1386.476237 BOOT=1517.343740
REAL=1788175825.819174 MONO=1386.702427 RAW=1386.496323 BOOT=1517.363828
REAL=1788175825.839256 MONO=1386.722510 RAW=1386.516404 BOOT=1517.383912
REAL=1788175825.859348 MONO=1386.742603 RAW=1386.536495 BOOT=1517.404005
REAL=1788175825.879446 MONO=1386.762701 RAW=1386.556591 BOOT=1517.424102
REAL=1788175825.899542 MONO=1386.782795 RAW=1386.576683 BOOT=1517.444196
REAL=1788175825.919644 MONO=1386.802900 RAW=1386.596786 BOOT=1517.464301
REAL=1788175825.939749 MONO=1386.823003 RAW=1386.616888 BOOT=1517.484405
REAL=1788175825.959839 MONO=1386.843092 RAW=1386.636975 BOOT=1517.504493
REAL=1788175825.979944 MONO=1386.863200 RAW=1386.657081 BOOT=1517.524601
REAL=1788175826.000061 MONO=1386.883317 RAW=1386.677196 BOOT=1517.544718
REAL=1788175826.020190 MONO=1386.903448 RAW=1386.697326 BOOT=1517.564850
REAL=1788175826.040317 MONO=1386.923573 RAW=1386.717449 BOOT=1517.584975
REAL=1788175826.060439 MONO=1386.943696 RAW=1386.737570 BOOT=1517.605098
REAL=1788175826.080579 MONO=1386.963836 RAW=1386.757709 BOOT=1517.625238
REAL=1788175826.100691 MONO=1386.983948 RAW=1386.777819 BOOT=1517.645350
REAL=1788175826.120790 MONO=1387.004048 RAW=1386.797918 BOOT=1517.665451
REAL=1788175826.140939 MONO=1387.024198 RAW=1386.818065 BOOT=1517.685600
REAL=1788175826.161082 MONO=1387.044339 RAW=1386.838206 BOOT=1517.705742
REAL=1788175826.181206 MONO=1387.064461 RAW=1386.858325 BOOT=1517.725863
REAL=1788175826.201334 MONO=1387.084590 RAW=1386.878453 BOOT=1517.745992
REAL=1788175826.221456 MONO=1387.104712 RAW=1386.898573 BOOT=1517.766114
REAL=1788175826.241570 MONO=1387.124826 RAW=1386.918685 BOOT=1517.786228
REAL=1788175826.261682 MONO=1387.144937 RAW=1386.938796 BOOT=1517.806340
REAL=1788175826.281809 MONO=1387.165065 RAW=1386.958922 BOOT=1517.826467
REAL=1788175826.301913 MONO=1387.185168 RAW=1386.979023 BOOT=1517.846570
REAL=1788175826.322011 MONO=1387.205267 RAW=1386.999120 BOOT=1517.866668
REAL=1788175826.342125 MONO=1387.225381 RAW=1387.019233 BOOT=1517.886783
REAL=1788175826.362260 MONO=1387.245517 RAW=1387.039367 BOOT=1517.906918
REAL=1788175826.382372 MONO=1387.265628 RAW=1387.059477 BOOT=1517.927030
REAL=1788175826.402493 MONO=1387.285749 RAW=1387.079596 BOOT=1517.947151
REAL=1788175826.422602 MONO=1387.305857 RAW=1387.099702 BOOT=1517.967259
REAL=1788175826.442718 MONO=1387.325974 RAW=1387.119818 BOOT=1517.987376
