[2026-08-31T11:21:16.456481Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=138051 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456484Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=138246 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456487Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=138253 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456491Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=138448 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456494Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=138455 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456497Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=138650 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456501Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=138657 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456504Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=138852 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456508Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=138859 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456511Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=139054 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456514Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=139061 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456518Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=139283 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456521Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=139290 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456525Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=139525 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456529Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=139532 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456532Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=139800 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456536Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=139807 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456539Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=140075 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456543Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=140082 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456547Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=140351 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456551Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=140358 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456555Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=140601 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456558Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=140608 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456561Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=140851 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456565Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=140858 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456569Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=141101 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456573Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=141109 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456577Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=141433 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456581Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=141441 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456585Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=141743 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456591Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=141751 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456594Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=142074 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456598Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=142082 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456601Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=142405 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456605Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=142413 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456609Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=142736 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456612Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=142744 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456615Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=143042 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456619Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=143050 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456622Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=143348 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456626Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=143356 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456630Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=143594 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456633Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=143602 klass=6 cmd=1 ring=0x0 size=28
